average;dim;empty;max;min;simulation_time
0.0;50;0.0;0;0;nan
0.0;50;0.01;0;0;nan
0.0;50;0.02;0;0;nan
0.0;50;0.03;0;0;nan
0.02;50;0.04;1;0;nan
0.0;50;0.05;0;0;nan
0.48;50;0.06;1;0;nan
0.52;50;0.07;1;0;nan
0.22;50;0.08;4;0;nan
0.34;50;0.09;5;0;nan
0.2;50;0.1;4;0;nan
0.16;50;0.11;4;0;nan
0.2;50;0.12;3;0;nan
0.24;50;0.13;3;0;nan
0.4;50;0.14;5;0;nan
2.04;50;0.15;15;0;nan
0.84;50;0.16;11;0;nan
1.84;50;0.17;9;1;nan
2.12;50;0.18;11;1;nan
1.82;50;0.19;6;1;nan
1.92;50;0.2;8;1;nan
2.16;50;0.21;9;1;nan
44.08;50;0.22;1981;2;nan
45.24;50;0.23;1947;3;nan
10.34;50;0.24;45;3;nan
52.84;50;0.25;1886;7;nan
13.04;50;0.26;50;4;nan
54.42;50;0.27;1853;6;nan
32.22;50;0.28;77;21;nan
71.48;50;0.29;1784;25;nan
36.98;50;0.3;87;21;nan
93.48;50;0.31;1734;25;nan
90.9;50;0.32;1662;29;nan
146.9;50;0.33;1696;39;nan
162.38;50;0.34;1666;40;nan
299.44;50;0.35;1659;60;nan
269.22;50;0.36;1635;54;nan
261.4;50;0.37;1617;62;nan
442.66;50;0.38;1597;133;nan
797.18;50;0.39;1577;273;nan
839.66;50;0.4;1558;287;nan
873.44;50;0.41;1530;366;nan
1105.06;50;0.42;1503;609;nan
1103.34;50;0.43;1485;643;nan
1252.82;50;0.44;1469;926;nan
1273.1;50;0.45;1446;928;nan
1302.82;50;0.46;1415;1047;nan
1277.96;50;0.47;1385;1023;nan
1246.28;50;0.48;1353;998;nan
1248.28;50;0.49;1327;968;nan
1230.26;50;0.5;1296;1083;nan
1225.08;50;0.51;1272;1154;nan
1208.58;50;0.52;1244;1119;nan
1174.4;50;0.53;1215;1083;nan
1163.38;50;0.54;1197;1060;nan
1146.36;50;0.55;1173;1046;nan
1125.34;50;0.56;1153;1031;nan
1100.5;50;0.57;1123;1021;nan
1072.54;50;0.58;1094;1004;nan
1057.78;50;0.59;1071;1018;nan
1029.72;50;0.6;1047;992;nan
1002.2;50;0.61;1016;970;nan
982.84;50;0.62;996;944;nan
961.82;50;0.63;977;921;nan
935.94;50;0.64;946;892;nan
914.18;50;0.65;922;864;nan
884.16;50;0.66;894;845;nan
854.04;50;0.67;864;832;nan
808.22;50;0.68;816;780;nan
780.92;50;0.69;790;751;nan
756.6;50;0.7;763;741;nan
731.02;50;0.71;737;725;nan
699.84;50;0.72;704;693;nan
678.68;50;0.73;683;671;nan
646.4;50;0.74;650;639;nan
623.52;50;0.75;629;615;nan
600.48;50;0.76;605;593;nan
578.32;50;0.77;585;566;nan
554.74;50;0.78;557;549;nan
528.96;50;0.79;534;522;nan
497.88;50;0.8;502;491;nan
481.48;50;0.81;486;474;nan
455.4;50;0.82;458;448;nan
424.3;50;0.83;429;418;nan
400.88;50;0.84;403;396;nan
375.18;50;0.85;379;369;nan
346.74;50;0.86;350;341;nan
318.86;50;0.87;323;314;nan
305.18;50;0.88;308;299;nan
285.78;50;0.89;288;282;nan
255.0;50;0.9;258;252;nan
222.48;50;0.91;226;219;nan
195.7;50;0.92;198;191;nan
180.94;50;0.93;183;178;nan
153.26;50;0.94;154;151;nan
125.82;50;0.95;127;125;nan
101.82;50;0.96;103;101;nan
70.5;50;0.97;71;67;nan
42.92;50;0.98;43;42;nan
22.4;50;0.99;23;22;nan
0.0;50;1.0;0;0;nan
